total_distance_km,average_trip_speed_kmph,ambient_temperature_C,trip_duration_min,charging_cycles,fast_charging_ratio_%,average_battery_temperature_C,battery_health_%
38340.47,20.05,35.06,48.29,713,19.78,41.43,45.0
1345.67,44.64,32.89,11.4,50,19.91,35.89,91.65
39915.01,27.56,36.62,40.62,718,9.66,44.73,45.0
27396.03,27.68,16.24,61.25,563,26.99,25.0,56.58
33310.3,46.13,30.55,17.18,621,28.21,32.99,45.0
12490.16,22.15,42.94,46.77,228,6.08,38.2,79.54
1558.3,32.54,31.38,89.47,50,8.19,38.5,92.04
29776.91,25.98,31.4,67.32,525,54.9,38.72,49.56
33531.64,43.21,35.78,53.75,611,17.11,44.87,45.0
29878.57,46.47,21.66,52.64,520,50.13,33.1,52.93
6571.16,48.85,34.52,13.5,136,39.13,41.26,80.39
30383.69,30.21,42.07,86.59,536,19.74,48.93,45.0
30987.99,23.57,10.38,84.25,589,25.47,25.0,45.0
26683.08,23.15,40.45,64.59,510,7.65,50.0,52.63
30878.52,37.05,17.65,17.92,560,32.25,25.0,47.77
33990.94,57.83,25.96,26.63,633,78.16,32.31,45.0
24930.56,28.71,39.83,24.71,469,33.37,50.0,58.29
4455.58,30.27,38.84,51.57,50,31.17,44.21,86.21
20017.48,24.04,41.22,26.62,407,6.34,44.04,69.13
4028.32,44.22,42.91,65.66,67,16.0,50.0,82.57
16894.18,47.19,25.65,53.62,325,4.58,38.17,73.18
16877.15,45.72,32.97,11.41,325,40.46,47.16,66.6
3574.38,54.45,23.67,69.52,50,22.87,27.61,95.58
14604.0,39.46,22.28,25.11,249,43.05,30.73,78.82
5328.93,25.38,25.11,75.99,118,26.93,35.76,88.85
32521.17,31.58,36.01,38.4,593,20.25,44.83,45.0
37959.83,46.5,27.55,37.09,707,40.88,36.05,45.0
3820.34,44.52,38.49,10.95,72,49.1,43.82,84.77
38249.49,41.24,36.08,89.02,726,16.74,42.01,45.0
21380.49,47.32,10.72,58.96,392,40.71,25.0,73.53
12683.06,45.5,32.06,43.82,266,17.17,34.84,79.28
3997.62,55.25,25.28,17.73,50,16.1,29.19,94.93
20524.35,43.44,25.98,65.93,370,39.4,30.25,72.63
31986.11,51.14,38.64,32.62,567,12.2,48.41,45.0
28576.37,29.95,29.17,89.06,529,12.8,37.93,55.02
2958.81,47.13,41.0,86.04,50,5.28,47.22,85.52
3843.17,56.09,34.95,68.82,64,15.05,40.14,86.11
16712.06,35.43,29.35,87.69,286,30.66,29.38,75.96
12516.33,51.16,36.41,18.45,216,37.39,42.3,75.62
10062.99,48.99,11.34,32.39,183,21.45,25.0,87.0
11959.18,22.38,10.95,30.26,167,30.61,25.0,84.71
32335.83,43.26,12.92,15.76,530,19.9,25.0,48.53
37239.89,25.21,25.31,87.78,679,48.18,32.46,45.0
16799.01,58.69,18.24,14.8,236,64.84,25.1,79.17
36338.33,52.46,44.45,78.54,656,18.07,47.96,45.0
13538.33,24.39,28.98,71.45,237,31.2,36.68,79.53
19581.04,24.87,33.18,40.07,370,46.76,40.87,67.51
9815.13,43.78,19.76,11.5,162,40.72,27.52,87.11
25978.57,33.8,21.26,10.49,512,17.39,25.44,57.57
39180.26,21.4,21.74,26.32,734,45.21,33.83,45.0
24536.23,41.67,34.46,49.51,408,10.73,47.14,65.02
14954.75,35.51,26.58,46.63,265,21.97,33.42,76.89
26264.88,24.04,28.12,56.82,516,50.86,37.46,51.62
5793.91,52.08,30.72,71.76,88,12.07,32.83,89.19
35657.7,56.6,36.91,40.19,647,15.67,40.03,45.0
20620.27,50.26,13.16,22.83,410,36.13,25.0,73.13
18524.64,52.9,37.19,74.0,323,36.9,45.8,69.91
23848.73,28.66,29.71,36.62,462,38.29,38.38,66.42
25366.57,30.54,33.42,32.95,438,2.56,40.43,65.68
3799.26,28.34,21.46,71.14,50,20.74,30.78,94.17
27622.07,50.6,24.33,84.73,533,24.16,28.23,56.72
10435.34,57.92,18.09,83.2,201,37.47,25.0,84.77
28844.15,48.67,44.28,21.0,537,2.03,50.0,50.27
33078.86,55.26,27.4,50.25,574,16.98,33.84,45.0
32354.38,45.55,44.86,17.43,563,75.45,50.0,45.0
22547.54,35.51,27.14,86.88,439,47.57,33.32,68.7
21286.63,37.03,17.69,27.22,393,14.57,25.49,75.74
6572.16,23.01,27.76,25.79,117,29.02,38.03,86.62
31238.5,21.26,11.39,81.11,573,14.93,25.0,46.98
11584.97,47.82,41.67,87.43,248,55.62,50.0,72.48
20371.12,37.54,38.65,65.81,388,22.78,44.72,66.3
12086.69,42.09,35.4,19.68,208,11.22,43.92,80.23
6219.31,42.31,31.34,48.87,78,21.83,36.13,87.36
25552.75,31.1,30.29,75.33,479,36.63,35.42,61.99
3118.95,39.04,44.89,55.8,50,39.62,47.55,86.85
30197.16,38.83,19.73,20.61,519,21.74,25.0,49.59
13385.89,35.54,37.29,23.75,276,40.16,44.33,75.01
1005.25,52.83,30.35,79.13,50,18.62,37.53,92.04
20934.04,38.05,44.16,52.16,390,64.61,50.0,63.1
2827.22,44.15,38.97,66.47,50,33.79,45.22,85.96
11770.61,55.82,44.95,39.85,259,25.05,50.0,75.73
28572.08,54.65,30.59,52.6,545,8.55,40.75,49.91
3444.9,55.62,17.16,88.17,55,49.09,25.0,90.97
33734.2,30.8,27.63,36.38,600,77.21,25.0,45.0
1148.98,21.4,34.89,63.98,50,7.87,42.92,89.85
10626.13,30.44,37.1,23.8,181,13.43,43.97,81.56
29895.26,31.15,10.02,19.74,599,24.23,25.0,52.96
13334.54,56.37,27.68,72.69,233,21.28,39.24,77.6
4973.8,45.97,18.23,77.53,64,26.48,25.0,93.79
15049.12,23.27,40.62,63.46,313,32.4,44.45,70.19
11545.34,25.42,15.35,22.66,196,63.44,29.19,84.82
33865.76,26.23,33.33,29.25,635,7.88,39.27,45.0
13220.57,45.22,19.31,82.89,257,55.18,26.3,81.78
31768.37,49.42,22.48,33.1,576,14.88,30.59,45.0
35783.01,54.39,42.92,75.51,626,50.2,45.94,45.0
17918.88,57.63,18.42,32.87,325,21.67,25.0,78.36
36487.78,28.07,13.33,85.16,634,32.42,25.0,45.0
15715.4,32.39,12.42,83.16,285,19.22,25.0,81.51
38599.06,29.61,27.66,13.46,721,9.34,31.81,45.0
4482.29,34.35,32.46,71.63,124,28.94,42.43,86.73
27793.75,56.59,21.46,23.56,478,27.01,29.8,66.43
20258.75,43.0,34.16,27.22,362,36.16,40.78,67.95
16118.3,49.53,12.14,46.79,280,36.1,25.0,79.18
25675.76,39.6,40.01,56.11,474,40.74,43.72,61.87
28450.43,21.15,38.58,36.06,479,57.21,50.0,54.57
1170.17,22.57,44.49,56.03,50,24.9,50.0,86.65
7511.17,41.52,42.78,23.65,94,11.6,48.92,83.07
28808.8,48.75,22.47,11.79,488,40.89,29.09,62.23
26989.03,28.61,23.97,55.7,474,39.57,29.16,65.39
38675.85,48.88,36.11,51.39,745,48.16,38.68,45.0
30680.47,52.43,14.69,65.17,567,28.51,25.0,46.25
38080.14,36.48,20.99,61.99,694,20.67,26.64,45.0
28399.08,49.86,14.15,81.8,550,36.84,25.49,54.58
12624.04,36.16,25.92,46.76,239,12.93,33.02,83.44
5109.23,47.13,29.32,10.67,105,10.78,34.45,91.97
31491.13,50.56,17.39,60.45,561,27.07,29.53,46.36
26121.82,59.68,10.93,64.01,459,57.35,25.0,69.19
2879.25,33.82,35.18,51.72,50,41.49,41.29,87.2
15041.97,36.44,10.7,65.14,258,44.44,25.0,78.84
38315.19,26.62,44.07,35.89,690,8.92,47.93,45.0
20515.64,28.16,17.76,21.9,382,35.44,25.0,73.28
17876.44,47.74,33.24,63.16,324,23.14,38.52,72.62
18850.28,56.68,25.22,29.61,334,22.26,33.31,72.9
9146.43,35.78,12.09,46.51,144,15.39,25.0,88.35
15379.58,27.19,26.53,49.33,290,40.64,32.86,78.03
15422.72,31.4,28.09,48.18,268,53.78,31.76,76.16
3041.85,38.2,39.91,57.88,64,46.4,46.11,85.74
30935.14,31.63,35.63,12.36,515,8.04,44.15,45.0
17243.67,29.34,12.78,89.17,322,31.0,25.0,77.93
33065.02,49.44,17.32,67.3,620,48.57,25.0,45.0
34163.57,20.31,20.92,44.03,637,1.09,26.36,45.0
9267.77,41.57,14.07,25.31,164,4.74,25.0,90.16
26636.79,51.75,25.99,16.41,507,2.78,35.14,55.24
19418.99,30.65,44.45,63.78,321,10.53,45.69,69.96
35326.11,44.13,28.01,35.36,640,20.31,34.45,45.0
9413.89,46.76,35.97,28.36,166,9.38,40.05,84.27
27434.71,46.2,33.9,40.4,525,17.86,36.82,52.17
24702.33,37.83,39.75,57.43,399,19.32,43.4,64.9
12516.76,33.86,17.55,63.74,201,30.2,25.0,83.92
6327.44,53.44,36.38,61.61,159,29.81,39.65,86.58
26413.95,50.34,40.85,79.06,419,18.53,44.93,65.75
29805.3,32.85,16.0,27.5,562,19.28,25.0,57.42
13309.47,24.12,22.14,60.94,224,58.29,25.78,83.04
26148.47,22.87,43.95,18.09,482,17.54,50.0,58.67
16410.11,23.77,37.33,53.83,334,38.5,45.61,69.72
28815.07,43.31,19.89,56.72,531,60.55,27.43,54.01
8769.4,22.07,29.74,27.3,195,42.74,35.39,82.96
35718.39,33.48,24.15,41.34,637,21.62,31.48,45.0
12208.97,50.13,27.15,76.18,213,24.63,29.4,81.57
15343.65,31.77,22.43,21.87,299,29.9,25.23,79.31
3265.59,50.53,19.78,44.76,50,7.26,27.55,94.35
5348.98,49.82,33.62,84.62,112,21.03,39.35,84.78
21118.61,29.83,37.25,50.33,414,27.18,43.29,68.74
11436.11,49.15,40.59,68.01,230,25.08,45.93,77.96
33583.73,49.91,15.44,76.15,571,32.89,25.0,45.0
1573.04,35.9,38.8,26.3,50,28.15,50.0,85.72
15784.67,28.42,18.92,27.46,294,17.71,25.0,80.68
14156.48,40.85,24.96,70.69,251,39.63,31.84,80.69
1753.78,56.86,41.55,70.26,50,32.85,50.0,87.0
5850.37,45.58,25.91,14.81,114,17.81,34.5,90.15
17132.06,26.92,16.9,35.8,298,51.06,25.0,78.33
20221.72,47.31,15.6,41.88,363,41.12,25.0,76.66
16767.3,37.09,26.55,76.32,275,24.63,38.97,73.5
21706.57,43.66,36.69,43.75,383,12.32,40.21,66.15
24210.14,49.36,44.9,84.07,402,60.97,50.0,59.61
1387.03,40.6,37.56,89.73,50,44.25,50.0,84.33
19099.71,52.56,40.7,72.46,342,25.25,49.39,67.2
38576.47,48.89,36.17,63.31,678,15.07,45.64,45.0
21242.26,44.6,41.34,41.35,431,43.63,47.55,61.58
27424.15,26.03,12.67,15.36,492,16.07,25.0,69.59
13162.69,53.44,42.55,55.85,246,26.91,46.82,74.39
31185.66,57.44,23.87,38.94,551,29.08,34.61,46.03
31143.94,25.48,42.26,38.07,556,31.55,50.0,45.0
21330.55,39.53,12.65,65.02,396,37.14,25.0,75.28
39064.54,30.36,35.03,47.09,702,14.26,41.02,45.0
5896.46,50.18,35.75,70.17,107,11.22,39.35,87.03
1660.96,48.87,44.89,41.85,50,29.44,50.0,86.27
31036.17,25.64,36.91,22.07,551,27.13,40.22,45.0
32479.07,55.08,23.39,46.91,557,40.12,31.17,45.0
5688.08,27.24,29.5,86.08,65,44.7,39.12,88.16
11357.73,51.89,22.83,74.12,242,27.86,33.2,80.91
1684.54,38.28,16.86,26.46,54,38.33,27.62,97.01
12439.04,33.13,18.7,41.3,243,24.25,25.0,82.64
31152.53,26.33,17.77,84.22,556,9.8,25.0,49.29
21200.46,26.7,29.21,19.9,352,22.98,32.6,72.55
14575.73,46.48,41.72,30.32,258,39.31,42.34,73.15
15497.83,42.02,41.95,30.98,279,3.28,49.22,73.36
1052.79,24.88,11.92,55.67,50,4.39,25.0,97.85
12692.22,24.51,12.8,42.86,194,47.84,25.0,84.62
26211.89,22.89,18.58,16.39,433,15.3,26.6,70.3
38993.58,49.75,18.93,60.33,725,39.64,27.46,45.0
34035.37,48.48,13.32,17.93,589,36.69,25.0,45.0
1920.2,22.34,23.6,58.51,50,41.18,32.66,90.42
36043.86,42.41,30.57,50.56,645,14.39,45.86,45.0
31544.74,23.39,30.24,49.49,588,17.3,36.97,45.0
31434.67,56.15,29.02,15.4,580,69.23,36.95,45.0
18861.83,56.28,21.85,61.14,337,23.11,29.17,73.66
16522.21,47.93,34.73,44.51,304,50.67,36.23,73.8
12813.71,57.05,38.93,42.89,230,30.75,39.52,77.2
3562.1,52.46,22.12,57.72,50,27.56,29.6,94.22
9901.18,53.14,12.99,58.5,205,22.84,25.0,88.57
10617.54,42.79,20.37,11.2,182,23.72,25.19,86.83
19879.01,32.24,14.81,20.02,359,58.5,25.0,75.58
30150.33,28.71,26.36,28.92,513,22.01,35.58,45.95
19478.58,33.09,15.46,64.24,361,21.95,25.0,77.94
3255.93,45.14,26.2,56.14,50,21.43,31.11,95.31
38353.8,26.91,17.74,70.61,685,20.55,25.0,45.0
37766.25,30.35,35.86,69.25,666,29.17,44.95,45.0
31622.39,38.72,10.96,78.25,572,30.41,25.0,46.23
39661.79,29.32,29.42,40.15,671,30.11,37.26,45.0
22234.81,43.55,15.93,37.61,421,44.74,25.0,69.67
38547.97,56.93,10.03,76.48,700,13.7,25.0,45.0
3948.6,49.92,40.42,29.01,60,9.24,48.83,85.96
15261.55,46.66,33.5,46.89,239,38.04,38.46,75.55
9789.87,43.31,13.46,25.55,189,17.79,25.0,86.4
8637.49,39.52,33.24,83.11,141,15.95,41.66,86.74
6491.32,27.46,31.41,42.62,151,5.49,35.9,85.95
25274.13,55.79,26.57,27.0,472,21.53,29.79,68.7
31471.55,29.94,24.67,65.36,611,25.81,29.7,45.0
23553.64,23.65,41.05,29.57,432,52.89,48.21,62.09
6731.55,50.0,18.58,85.48,149,16.6,28.2,85.68
32633.83,27.02,23.94,39.41,605,39.54,28.94,45.0
25802.23,34.88,21.52,63.17,458,12.66,26.79,68.33
16138.46,21.13,36.99,37.62,298,7.56,41.2,73.21
27291.08,25.48,42.08,74.58,475,27.35,50.0,60.51
11136.29,26.93,39.74,81.75,254,8.12,49.09,76.32
14462.5,22.18,37.92,73.03,260,42.16,43.6,74.01
36781.95,46.27,44.54,77.88,669,50.13,47.52,45.0
12329.68,53.48,34.4,18.15,234,34.95,41.65,76.18
19329.54,34.93,36.29,83.93,324,38.73,38.42,72.57
35715.5,54.98,44.4,59.94,682,27.92,47.54,45.0
28601.13,28.53,10.24,79.54,494,24.66,25.0,63.98
3425.93,33.02,32.19,64.75,50,15.15,45.39,89.17
6744.82,26.03,35.86,26.15,118,42.43,36.31,85.05
1305.82,44.82,42.12,58.76,50,35.1,50.0,87.68
25605.95,36.79,40.93,17.28,505,63.41,39.99,52.33
18459.26,44.53,39.47,65.66,330,44.88,45.92,68.54
6236.72,50.47,43.1,42.72,50,6.64,48.05,86.78
38359.43,41.83,28.81,22.14,702,42.46,37.21,45.0
21656.73,45.11,10.24,88.34,408,42.95,25.0,71.56
10433.84,57.41,10.39,82.09,179,5.73,25.0,86.18
20523.54,31.96,29.06,81.48,339,20.34,32.04,73.9
27505.19,34.37,25.23,73.11,498,24.41,33.49,63.35
3973.33,48.71,25.79,65.36,60,18.73,33.47,92.3
11713.45,44.45,24.01,62.41,189,59.1,30.53,81.54
32471.65,27.14,42.12,18.49,564,40.24,50.0,45.0
18926.93,35.05,22.57,82.05,348,46.25,33.77,72.85
22316.51,38.71,39.97,80.49,428,10.82,47.54,63.39
17879.82,36.78,41.6,69.83,337,14.85,43.52,72.7
2712.1,27.13,27.48,84.19,50,62.48,37.96,87.33
7464.24,56.98,25.64,54.25,151,43.63,32.06,83.39
18376.12,50.49,36.64,45.81,353,15.72,45.27,69.22
9158.23,39.25,34.78,87.44,201,15.62,41.65,78.55
2949.18,47.2,21.5,47.13,50,20.74,25.0,95.87
33902.34,55.89,13.59,61.31,615,28.49,25.0,45.0
39266.51,25.45,19.27,39.84,728,52.07,28.88,45.0
31932.57,30.01,14.59,60.91,567,13.05,25.0,46.97
34297.61,41.71,20.32,67.61,637,37.61,26.43,45.0
10437.11,51.96,19.16,59.97,189,16.19,29.31,85.64
38464.45,21.45,32.32,51.17,678,29.71,41.99,45.0
8680.1,59.36,43.41,34.01,139,22.82,50.0,81.14
38105.76,38.2,34.0,61.51,724,32.09,40.9,45.0
39797.95,34.37,42.43,82.67,699,10.47,50.0,45.0
28757.19,31.71,37.44,10.55,494,16.82,45.05,60.22
39264.61,26.97,35.48,20.71,723,21.05,37.1,45.0
23212.05,51.66,24.49,19.58,421,25.18,34.74,69.8
11122.13,58.22,21.37,83.86,169,23.94,28.15,86.87
18042.84,36.55,39.62,63.02,315,10.5,46.73,69.98
24148.88,58.1,41.69,86.14,419,16.64,50.0,61.3
3850.18,52.95,25.82,56.63,54,30.43,32.74,91.58
25271.39,39.24,10.32,46.94,523,7.71,25.0,58.51
39265.94,46.96,37.74,73.39,706,29.79,40.1,45.0
8414.2,37.4,19.98,22.88,131,25.42,26.47,89.44
31911.21,42.35,10.35,40.51,631,41.23,25.0,45.0
36408.05,22.32,38.17,47.3,684,22.24,44.27,45.0
37804.36,47.85,28.11,33.88,705,73.41,32.0,45.0
38445.29,22.11,33.98,39.7,678,20.14,38.57,45.0
21336.93,52.68,42.01,16.25,418,44.63,46.29,60.75
39115.01,53.0,28.94,25.84,732,64.8,34.17,45.0
30535.1,29.48,27.61,36.84,559,56.76,33.78,45.0
7305.19,32.95,20.17,73.67,90,32.37,29.82,92.44
19599.1,39.25,20.68,24.6,356,31.99,30.92,72.74
29014.92,43.87,37.88,37.73,571,36.31,48.89,45.26
10646.27,31.49,25.72,15.19,199,31.9,32.27,82.81
25983.99,43.7,15.72,54.57,463,8.28,25.0,68.15
26997.42,31.91,13.31,58.9,485,49.14,25.0,66.93
7345.29,22.22,26.55,79.24,130,31.36,34.53,86.33
23038.33,20.1,26.27,75.53,399,36.19,32.9,69.13
31093.45,24.05,32.87,32.83,564,24.32,40.14,45.0
20456.93,51.69,26.49,20.96,408,18.44,34.14,70.81
1472.02,58.46,15.02,22.49,60,23.05,25.36,93.9
1352.5,37.08,27.77,87.52,50,21.15,36.19,93.26
14924.14,40.51,41.74,63.86,303,13.6,49.67,71.24
37121.57,25.87,15.58,13.41,694,38.27,25.0,45.0
9918.39,42.04,34.14,20.94,196,6.3,45.7,80.33
25740.18,25.79,30.79,48.86,479,12.74,37.64,64.34
9660.96,44.45,36.2,26.63,152,55.15,42.81,79.84
13545.13,57.33,15.27,74.29,236,7.47,25.0,85.29
34073.64,27.83,42.96,55.86,640,12.69,47.65,45.0
29425.6,50.58,31.73,59.01,505,8.83,40.77,52.52
4720.57,20.94,39.65,47.03,60,56.25,50.0,83.2
17719.38,35.02,18.63,30.49,330,15.39,25.0,78.4
2137.62,24.43,35.88,57.15,50,19.98,43.08,91.59
19754.72,34.1,37.34,67.36,380,48.99,42.88,67.21
26834.93,26.94,23.91,39.68,469,26.06,31.96,67.7
5621.6,34.93,23.44,50.4,108,37.68,32.17,89.7
12266.51,36.7,33.02,77.17,231,17.4,41.36,79.01
16515.63,32.02,13.27,21.89,288,12.13,25.0,82.46
36861.71,46.26,35.75,53.62,664,38.99,38.59,45.0
39736.95,56.75,11.5,37.87,705,10.78,25.0,45.0
2751.54,36.02,16.67,66.22,50,29.58,25.0,94.74
30679.31,27.69,33.25,11.5,534,74.73,46.28,45.0
15497.24,30.83,13.44,63.64,276,31.39,25.0,81.04
16305.87,54.16,44.01,18.23,315,25.11,50.0,70.85
30416.33,42.87,40.39,15.18,525,20.91,50.0,45.0
36818.63,38.2,31.92,67.97,657,39.25,41.88,45.0
38086.22,25.99,38.67,61.23,705,33.09,45.88,45.0
23507.78,37.99,41.07,81.59,375,53.9,50.0,62.62
14927.73,31.14,19.08,51.57,318,40.68,25.0,79.23
31714.41,57.73,39.73,52.4,603,54.84,48.79,45.0
10789.05,55.36,16.82,66.56,158,56.17,29.58,84.69
22998.89,23.36,24.47,35.87,366,33.32,30.53,71.7
14984.56,40.67,29.54,12.95,273,11.6,38.14,76.78
26608.61,29.0,34.99,28.4,456,18.31,39.1,68.04
10375.56,36.43,11.05,29.04,213,16.92,25.0,84.15
8472.12,55.07,20.17,36.85,164,35.6,26.26,86.25
36811.32,41.1,31.3,85.48,672,19.76,38.03,45.0
4970.34,33.37,22.51,74.39,76,14.42,27.74,92.9
20732.36,28.32,37.13,84.88,417,48.34,42.95,64.67
9613.26,52.01,32.81,89.89,194,25.64,39.03,80.11
2518.27,44.98,18.2,44.7,61,29.12,26.54,92.42
2404.73,38.72,15.11,28.17,74,28.28,25.0,96.05
7833.65,28.7,32.02,54.8,117,45.68,32.32,86.24
34804.04,33.37,25.77,80.49,665,38.06,34.34,45.0
12016.67,58.39,15.91,47.26,212,9.31,28.3,82.26
38067.91,40.8,21.42,50.43,701,50.74,25.0,45.0
23683.27,36.03,20.61,20.76,427,17.87,28.83,71.41
18027.95,40.86,13.78,43.64,281,17.6,29.48,77.14
23623.46,51.16,29.14,40.96,453,28.83,35.13,67.53
21151.24,33.6,36.73,38.14,339,63.43,43.71,67.11
30592.27,27.15,30.14,80.98,532,50.21,35.32,45.0
12017.35,43.4,38.92,14.74,207,18.99,49.46,75.29
14768.97,46.61,14.46,87.77,220,5.8,25.0,82.6
35869.68,48.51,25.25,10.66,625,43.85,29.75,45.0
37911.8,55.28,31.33,85.65,695,28.66,39.15,45.0
35809.77,34.85,33.66,53.84,642,8.68,38.54,45.0
17358.47,23.01,34.35,66.2,309,59.42,39.31,72.41
31434.25,58.33,35.51,24.97,549,22.33,40.29,45.0
19577.09,37.4,32.8,62.34,357,31.89,38.44,68.89
20404.05,44.93,13.3,80.56,363,14.02,25.0,77.43
8982.52,46.65,34.34,21.16,122,44.96,41.59,82.51
24054.08,41.86,35.37,20.17,432,29.78,47.21,62.09
8259.3,28.21,44.77,34.32,119,24.97,49.68,82.84
13931.02,50.21,34.27,22.94,276,7.76,38.92,78.64
34346.18,52.15,34.04,18.85,615,36.22,42.43,45.0
9075.96,42.12,28.02,64.27,228,44.69,33.52,82.13
3775.17,39.54,40.38,27.11,93,10.29,44.85,84.1
3691.3,24.56,44.89,63.36,64,8.26,50.0,83.47
37690.6,23.36,37.27,78.95,700,35.95,44.12,45.0
20769.9,33.58,31.44,62.16,325,10.89,37.24,69.61
16967.07,32.43,12.76,19.55,333,36.46,25.0,77.07
32624.26,58.15,35.44,55.89,573,18.6,41.31,45.0
33597.21,51.34,34.8,41.49,613,11.67,45.16,45.0
13955.45,46.4,37.14,37.47,236,56.21,45.09,74.01
28051.1,40.71,14.36,35.48,494,48.47,25.0,66.64
31073.79,26.69,32.88,84.35,560,21.51,41.02,45.0
26531.38,59.14,20.35,69.4,484,2.39,26.02,69.21
6912.21,35.0,36.61,20.71,125,31.92,39.8,84.01
35159.44,24.28,18.41,48.08,639,50.99,25.4,45.0
22024.69,39.75,33.94,35.46,360,19.2,39.46,69.38
12016.42,54.96,20.32,88.24,277,8.63,33.93,79.89
17583.9,55.49,10.31,88.24,326,45.23,25.0,76.16
2465.27,20.44,32.17,35.56,56,45.06,39.85,88.15
5986.81,55.45,13.96,38.17,100,28.96,25.0,90.63
30856.32,30.86,33.08,57.95,539,14.46,39.61,45.0
1000.45,21.56,42.4,48.34,50,24.43,50.0,88.04
17246.07,53.91,43.92,27.05,321,10.13,50.0,70.94
21377.9,54.55,18.26,62.83,421,29.93,26.01,72.06
3130.74,43.85,38.32,36.73,109,13.6,40.73,86.15
38950.05,42.98,22.37,62.3,745,23.87,33.98,45.0
9818.89,52.52,41.52,40.69,134,8.88,50.0,77.19
12863.75,51.45,37.56,66.02,222,29.0,36.24,81.58
12853.76,55.6,12.59,63.42,242,30.6,25.0,86.3
9986.25,42.11,24.25,50.71,172,5.59,29.88,88.2
1057.48,58.71,21.81,66.38,50,68.59,25.99,93.74
29444.45,59.85,37.48,46.88,482,19.04,44.21,57.48
38706.97,24.66,24.36,19.29,727,17.73,29.72,45.0
9747.45,53.98,33.96,24.57,130,24.31,43.8,80.93
26858.84,39.99,31.09,29.68,449,39.52,41.29,62.36
29933.96,35.5,44.15,15.06,519,41.7,47.53,47.85
34088.59,44.52,42.82,66.91,617,18.82,50.0,45.0
17482.54,22.24,24.97,39.39,277,15.49,36.32,75.37
12814.31,40.26,35.33,17.48,206,41.89,33.7,81.93
13686.51,54.84,39.03,75.6,278,39.26,43.32,74.4
28792.23,28.54,41.46,64.69,521,10.89,45.03,50.61
32854.4,37.06,12.38,46.18,608,36.21,25.0,45.0
8082.94,57.58,20.57,29.79,116,48.79,25.0,90.02
15466.7,37.14,21.21,22.14,280,15.07,28.72,77.58
36175.67,34.33,25.21,46.67,654,34.48,29.84,45.0
32461.05,37.62,15.92,80.82,570,21.68,25.0,45.0
39409.48,40.78,27.37,25.07,715,22.16,41.46,45.0
30415.68,45.28,33.21,55.49,506,6.04,45.2,45.0
16334.61,52.03,27.41,86.93,308,11.33,32.49,75.77
24034.88,38.08,33.3,60.97,427,23.4,40.16,66.31
26779.56,52.7,12.33,45.2,480,51.87,25.0,66.3
4059.78,41.35,40.66,67.31,95,51.42,50.0,82.09
22235.38,33.54,42.87,75.97,415,45.08,50.0,62.81
28663.51,46.32,31.63,57.24,513,33.87,35.17,53.0
7525.53,48.71,40.85,79.75,109,51.97,49.84,80.53
31444.64,42.32,14.6,51.17,605,25.32,25.0,47.71
23767.14,22.26,37.91,76.4,399,53.25,41.21,64.19
38136.65,26.8,14.17,86.16,709,30.1,25.0,45.0
2654.47,31.41,24.28,50.1,50,28.38,35.05,92.57
11347.72,31.31,21.33,58.4,229,13.86,33.26,81.56
24460.6,46.94,30.5,58.76,470,43.51,42.19,63.28
12565.84,20.73,20.55,72.51,181,34.97,29.65,82.63
28862.54,50.23,32.31,75.84,536,28.45,37.86,53.71
30601.21,30.61,22.86,12.18,566,19.7,25.63,49.37
4998.12,32.4,40.13,68.67,108,35.93,46.78,83.17
21040.32,41.12,32.19,72.71,392,38.92,38.3,67.02
20846.73,28.64,17.54,66.03,355,25.65,25.0,76.42
15401.95,55.38,21.76,67.1,275,51.1,28.54,78.04
37384.07,23.41,39.66,13.31,721,20.52,45.37,45.0
33272.75,37.78,23.53,45.36,577,27.16,31.43,45.0
28191.17,53.98,28.75,75.45,521,28.13,32.61,57.06
28858.74,44.63,32.71,84.72,553,43.42,41.08,48.54
19006.93,31.69,22.17,28.36,321,33.53,25.15,76.87
36918.79,36.83,20.29,56.34,636,14.58,28.34,45.0
28089.22,48.27,26.63,74.35,479,29.52,32.45,63.6
29430.26,58.93,17.52,70.19,545,26.25,25.8,55.34
34605.95,55.73,19.95,59.51,597,18.68,31.69,45.0
11688.79,33.7,12.17,11.5,209,20.05,25.0,86.46
32475.77,59.93,20.64,67.91,625,29.48,26.83,45.0
8614.38,20.14,21.22,71.86,155,20.63,29.31,85.27
14468.34,21.11,43.66,67.83,244,32.96,49.62,73.23
14088.81,52.95,30.64,71.26,259,14.19,37.91,76.42
39162.49,27.98,37.56,44.47,710,13.35,45.01,45.0
34404.95,22.43,11.59,89.5,637,29.49,25.0,45.0
28345.62,29.49,13.73,71.66,556,53.65,25.0,56.92
29355.21,37.04,38.51,56.29,544,23.7,40.2,51.23
22920.84,49.22,31.82,84.74,468,10.82,39.72,63.85
37936.54,44.97,16.68,82.66,701,24.15,27.69,45.0
20354.09,29.5,24.17,75.17,351,54.39,34.76,71.74
15840.19,40.13,28.85,55.1,345,55.21,34.39,73.69
7358.38,57.05,39.53,52.17,131,28.61,42.87,82.26
31662.02,52.6,12.11,36.3,549,29.46,25.0,47.49
29643.31,32.93,30.89,30.07,597,61.98,39.63,47.28
15989.85,59.29,35.1,50.99,272,16.37,37.85,77.1
1982.54,48.34,44.23,56.22,50,37.51,49.04,85.69
